2024-06-07 22:29:26 - Log message for  ../corpus/Literatur-Arnim,-Bettina-von/tg17.conllu_0
"goldnem"	"goldenem"
"paarweis"	"paarweise"
"willen"	"Willen"
"ward"	"wurde"
"hintern"	"hinteren"
"mocht"	"mochte"
"seh"	"sehe"
"Bärin"	"Bären"
"geborner"	"geborener"
"verlaßnen"	"verlaßenen"
"verlornen"	"verlorenen"
"wurd"	"wurde"
"Bärin"	"Bären"
"möcht"	"möchte"
"andern"	"anderen"
"drum"	"darum"
"kömmt"	"kommt"
"Lieb"	"Liebe"
"verlornen"	"verlorenen"
"andern"	"anderen"
"verstehn"	"verstehen"
"Menschenklag"	"Menschenklage"
"Kron"	"Krone"
"konnt"	"konnte"
"konnt"	"konnte"
"andre"	"andere"
"andre"	"andere"
"andern"	"anderen"
"Kron"	"Krone"
"goldnen"	"goldenen"
"verlornes"	"verlorenes"
"Flüß"	"Flüsse"
"andern"	"anderen"
"hatt"	"hatte"
"Sprach"	"Sprache"
"Kron"	"Krone"
"ward"	"wurde"
2024-06-07 22:30:56 - Log message for  ../corpus/Literatur-Stifter,-Adalbert/tg85.conllu_0
"Hanns"	"Hans"
"Scharnast"	"Scharenast"
"Fideikommiß"	"Fideikommiss"
"Ermanglung"	"Ermangelung"
"hieher"	"hierher"
"Fideikommiß"	"Fideikommiss"
"Hannsen"	"Hansen"
"Fideikommiß"	"Fideikommiss"
"Hanns"	"Hans"
"Scharnasts"	"Scharenasts"
"Scharnasts"	"Scharenasts"
"andrerseits"	"andererseits"
"Scharnast"	"Scharenast"
"Kante"	"Kannte"
"wagrecht"	"waagerecht"
"Pirling"	"Perlig"
"andern"	"anderen"
"andern"	"anderen"
"herumgruppiertes"	"herumgruppierte"
"andern"	"anderen"
"so<"	"so"
"dritthalbhundert"	"Drittalbhundert"
"einschlüpfen"	"Einschlüpfen"
"Lasset"	"Lasst"
"ie"	"je"
"Zehent"	"Zehnt"
"Priglitzer"	"Periglitzer"
"Priglitzer"	"Periglitzer"
"Rothensteine"	"Rotensteine"
"waret"	"wart"
"unsrem"	"unserem"
"unsrer"	"unserer"
"Willkomm"	"Willkommen"
"wards"	"wurde_es"
"Hintereisen"	"Hinterreifen"
"Erstgebornen"	"Erstgeborenen"
"Paff<"	"Paff"
"unsrem"	"unserem"
"unsern"	"unseren"
"Christum"	"Christus"
"Fideikommiß"	"Fideikommiss"
"andern"	"anderen"
"andern"	"anderen"
"Rothensteines"	"Rotensteines"
"Scharnast"	"Scharenast"
"unsre"	"unsere"
"eignen"	"eigenen"
"neh"	"näh"
"Gemsbart"	"Gamsbart"
"gesundesten"	"gesündesten"
"andern"	"anderen"
"Drum"	"Darum"
"Grahns"	"Grans"
"glaub"	"glaube"
"Trink"	"Trinke"
"hieher"	"hierher"
"andern"	"anderen"
"ward"	"wurde"
"umzugehn"	"umzugehen"
"wär"	"wäre"
"ward"	"wurde"
"unsrem"	"unserem"
"willen"	"Willen"
"frägst"	"fragst"
"lässest"	"läsest"
"zweien"	"zwei"
"anzuhangen"	"anzuhängen"
"Stirne"	"Stirn"
"unserm"	"unserem"
"andern"	"anderen"
"gram"	"Gram"
"Haide"	"Heide"
"Appolonia"	"Apollonia"
"Thrinens"	"Trinen"
"Heuschreck"	"Heuschrecke"
"ward"	"wurde"
"andern"	"anderen"
"andern"	"anderen"
"waret"	"wart"
"unsre"	"unsere"
"andern"	"anderen"
"kamet"	"kamt"
"ward"	"wurde"
"hab"	"habe"
"truget"	"trugt"
"ansahet"	"ansaht"
"sahet"	"saht"
"Thrinens"	"Trinen"
"unsern"	"unseren"
"saßet"	"saßt"
"wars"	"war_es"
"nennens"	"Nennens"
"Stirne"	"Stirn"
"Stirne"	"Stirn"
"goldne"	"goldene"
"vermöcht"	"vermöchte"
"ichs"	"ich_es"
"sag"	"sage"
"teile"	"Teile"
"andern"	"anderen"
"Thrinens"	"Trinen"
"liesest"	"liest"
"begreif"	"begreife"
"hab"	"habe"
"werd"	"werde"
"werd"	"werde"
"willen"	"Willen"
"Zehen"	"Zehn"
"andern"	"anderen"
"Hirt"	"Hirte"
"Werktagswamse"	"Werktagswams"
"zollangen"	"zulangen"
"Gemsbartes"	"Gamsbartes"
"Stirne"	"Stirn"
"ward"	"wurde"
"handigen"	"hantigen"
"lässest"	"läsest"
"Fabelhans"	"Fabelhanse"
"Narre"	"Narr"
"hiebei"	"hierbei"
"darnach"	"danach"
"Stirne"	"Stirn"
"franker"	"Franker"
"'s"	"es"
"ists"	"ist_es"
"nunmehro"	"nunmehr"
"fortrauchte"	"Fortrauche"
"Seele!<"	"Seele"
"unsern"	"unseren"
"Thrinen"	"Trinen"
"unserm"	"unserem"
"Ohre"	"Ohr"
"andern"	"anderen"
"andern"	"anderen"
"fahr"	"fahre"
"Thrinen"	"Trinen"
"Stengel"	"Stängel"
"Gemsbart"	"Gamsbart"
"hintern"	"hinteren"
"Thrinens"	"Trinen"
"Priglitzer"	"Periglitzer"
"andern"	"anderen"
"fahr"	"fahre"
"unsre"	"unsere"
"heitern"	"heiteren"
"tosete"	"toste"
"handierte"	"hantierte"
"andern"	"anderen"
"heitern"	"heiteren"
"Innern"	"Inneren"
"zeig"	"zeige"
"Sphinxe"	"Sphinxen"
"aufwärtszeigenden"	"Aufwärtszeigenden"
"Sphinxe"	"Sphinxen"
"Hie"	"Hier"
"Kante"	"Kannte"
"gehauset"	"gehaust"
"jonischer"	"ionischer"
"andern"	"anderen"
"Gegitter"	"Gegetter"
"Komm"	"Komme"
"Innern"	"Inneren"
"Grahns"	"Grans"
"teuern"	"teuren"
"andern"	"anderen"
"grünseidnen"	"grünseidenen"
"Scharnastschen"	"Scharnasschen"
"andern"	"anderen"
"wenigere"	"weniger"
"heitern"	"heiteren"
"zerwaschen"	"waschen"
"Narcissa"	"Narzisse"
"Narcissa"	"Narzisse"
"Narcissa"	"Narzisse"
"erkenne.<"	"erkenne"
"Mondenscheine"	"Mondenschein"
"Narcissa"	"Narzisse"
"gesegnen.<"	"gesegnen"
"eignes"	"eigenes"
"komm"	"komme"
"Grahns"	"Grans"
"Narcissa"	"Narzisse"
"gesunknen"	"gesunkenen"
"Eingesunkne"	"Eingesunkene"
"Wasserschößlingen"	"Wasserschösslingen"
"andern"	"anderen"
"Obeliskes"	"Obelisk"
"unsrer"	"unserer"
"andern"	"anderen"
"andern"	"anderen"
"waret"	"wart"
"seidnen"	"seidenen"
"willen"	"Willen"
"andern"	"anderen"
"andern"	"anderen"
"Innern"	"Inneren"
"hieher"	"hierher"
"ist<"	"ist"
"andern"	"anderen"
"andern"	"anderen"
"Ohre"	"Ohr"
"andern"	"anderen"
"Scharnast"	"Scharenast"
"Sphinxe"	"Sphinxen"
"geoffenbaret"	"offenbart"
"verschlagner"	"verschlagener"
"Stirne"	"Stirn"
"Fittig"	"Fittich"
"Vermittelung"	"Vermittlung"
"abersinnige"	"apersinnige"
"seidnen"	"seidenen"
"bitt"	"bitte"
"Knieen"	"Knien"
"bitt"	"bitte"
"Ruprecht!<"	"Raprecht"
"hiebei"	"hierbei"
"waret"	"wart"
"waret"	"wart"
"starbet"	"starbt"
"Narcissa"	"Narzisse"
"andern"	"anderen"
"düstres"	"düsteres"
"andern"	"anderen"
"Ungebornen"	"Ungeborenen"
"gefrorne"	"gefrorene"
"andern"	"anderen"
"straff"	"Strafe"
"II<"	"ii"
"nun?!<"	"nun"
"andern"	"anderen"
"andern"	"anderen"
"Ruprecht<"	"Raprecht"
"werdet.<"	"werdet"
"Ruprecht<"	"Raprecht"
"Narcissa"	"Narzisse"
"bringet"	"bringt"
"mehrmal"	"mehrmals"
"andern"	"anderen"
"Rothensteines"	"Rotensteines"
"andern"	"anderen"
"grünseidne"	"grünseidene"
"bitt"	"bitte"
"waret"	"wart"
"bitt"	"bitte"
"Sträuche"	"Strauche"
"Sphinxe"	"Sphinxen"
"unbefahrne"	"unbefahrene"
"willen"	"Willen"
"warest"	"warst"
"Scharnasts"	"Scharenasts"
"Scharnast"	"Scharenast"
"Scharnast"	"Scharenast"
"andern"	"anderen"
"ward"	"wurde"
"unserm"	"unserem"
"andern"	"anderen"
"andern"	"anderen"
"Scharnast"	"Scharenast"
"gereiset"	"gereist"
"Rechtserfahrner"	"Rechtserfahrener"
"Scharnast"	"Scharenast"
"mirs"	"mir_es"
"Mälern"	"Malern"
"andre"	"andere"
"Mahl"	"Mal"
"mattfärbigen"	"mattfarbigen"
"Fittigen"	"Fittichen"
"Thrinens"	"Trinen"
"Scharnast"	"Scharenast"
"Obristen"	"Obersten"
"Scharnast"	"Scharenast"
"Obrist"	"Oberst"
"Obrist"	"Oberst"
"anderm"	"anderem"
"andern"	"anderen"
"abgereiset"	"abgereist"
"andern"	"anderen"
"andern"	"anderen"
"andern"	"anderen"
"Rothensteine"	"Rotensteine"
"Julianschlosses"	"Julianschlusses"
"wunder"	"Wunder"
"II<"	"ii"
"andern"	"anderen"
"goldnen"	"goldenen"
"hn"	"ihn"
"Bramanenleben"	"Brahmanenleben"
"mir<"	"mir"
"werdest<"	"werdest"
"waschen<"	"waschen"
"seiest.<"	"seiest"
"waschen<"	"waschen"
"Wasser.<"	"Wasser"
"unserm"	"unserem"
"auf?<"	"auf"
"auf<"	"auf"
"harrte.<"	"harrte"
"harrte<"	"harrte"
"kommen.<"	"kommen"
"gehst<"	"Gest"
"solle.<"	"solle"
"werden?<"	"werden"
"durcheinandermischte"	"durcheinanderemische"
"unsres"	"unseres"
"Heimweh<"	"Heimweh"
"ahnete"	"ahnte"
"dunkeln"	"dunklen"
"Fittigen"	"Fittichen"
"heitern"	"heiteren"
"teile"	"Teile"
"mirs"	"mir_es"
"Neues?<"	"Neues"
"wars"	"war_es"
"Weibe.<"	"Weibe"
"Satan,<"	"Satan"
"ward"	"wurde"
"fahr"	"fahre"
"dus?<"	"du"
"bins"	"bin_es"
"Kind<"	"Kind"
"töten.<"	"töten"
"furchtbar.<"	"furchtbar"
"sein<"	"sein"
"sag"	"sage"
"doch.<"	"doch"
"unschuldig,<"	"unschuldig"
"allein!<"	"allein"
"Stirne"	"Stirn"
"'s"	"es"
"zürne.<"	"zürne"
"Leid.<"	"Leid"
"tun<"	"tun"
"Kirche.<"	"Kirche"
"lässest"	"läsest"
"atmen.<"	"atmen"
"atme<"	"atme"
"Tage.<"	"Tage"
"Sträuchen"	"Sträuchern"
"lösete"	"löste"
"eignes"	"eigenes"
"Nacht.<"	"Nacht"
"andern"	"anderen"
"abgereiset"	"abgereist"
"obleich"	"Leich"
"Schwur"	"Schwor"
"andern"	"anderen"
"andern"	"anderen"
"not"	"Not"
"Marmel"	"Marmor"
"Namen<"	"Namen"
"Sohne.<"	"Sohne"
"andern"	"anderen"
"Stirne"	"Stirn"
"Vorfahren<"	"Vorfahren"
"Narcissa"	"Narzisse"
"müssen?<"	"müssen"
"Innern"	"Inneren"
"andern"	"anderen"
"Gelt"	"Geld"
"Gelt"	"Geld"
"andern"	"anderen"
"fahr"	"fahre"
"gewählet"	"gewählt"
"andern"	"anderen"
"bessern"	"besseren"
"hiebei"	"hierbei"
"Hirt"	"Hirte"
"Grahns"	"Grans"
"Thrinen"	"Trinen"
"andern"	"anderen"
"Rothensteine"	"Rotensteine"
"heitern"	"heiteren"
"Statt"	"Stadt"
"Stadtschreiber<"	"Stadtschreiber"
"Graf.<"	"Graf"
"eingelöset"	"eingelöst"
"alldort"	"dort"
"andern"	"anderen"
2024-06-07 22:32:10 - Log message for  ../corpus/Literatur-Stifter,-Adalbert/tg77.conllu_0
"Baiern"	"Bayern"
"abgeschiednen"	"abgeschiedenen"
"andern"	"anderen"
"einfärbig"	"einfarbig"
"herumgestreuet"	"herumgestreut"
"heraufflimmernde"	"heraufflimmernd"
"schwärzern"	"schwärzeren"
"Geklippe"	"Gecklippe"
"ungeheuern"	"ungeheuren"
"Stirne"	"Stirn"
"Baiern"	"Bayern"
"obbemerkten"	"bemerkten"
"Lasset"	"Lasst"
"andern"	"anderen"
"quillt"	"quellt"
"Sammetkissen"	"Samtkissen"
"Thomasgipfel"	"Domasgipfel"
"Thomasturm"	"Domasturm"
"goldnen"	"goldenen"
"andern"	"anderen"
"ausgesäet"	"ausgesät"
"unermeßne"	"unermeßene"
"Norischen"	"Narrischen"
"heitern"	"heiteren"
"heitern"	"heiteren"
"andern"	"anderen"
"teile"	"Teile"
"geh"	"gehe"
"Buffe"	"Bufe"
"andern"	"anderen"
"goldne"	"goldene"
"Kron"	"Krone"
"Melodieen"	"Melodien"
