author	epoche	genre	title	textPath	label
Ahlefeld, Charlotte von	not defined	Roman	Erna	droro_e2/Ahlefeld_Charlotte_von_Erna.txt	Romantik_E2
Ahlefeld, Charlotte von	not defined	Roman	Marie Müller	droro_e2/Ahlefeld_Charlotte_von_Marie_Mueller.txt	Romantik_E2
Alexis, Willibald	not defined	Roman	Als Kriegsfreiwilliger nach Frankreich	droro_e1/Alexis_Willibald_als_Kriegsfreiwilliger_nach_Frankreich.txt	Romantik_E1
Alexis, Willibald	not defined	Roman	Cabanis	droro_e1/Alexis_Willibald_Cabanis.txt	Romantik_E1
Alexis, Willibald	not defined	Roman	Der falsche Woldemar	droro_e2/Alexis_Willibald_der_falsche_Woldemar.txt	Romantik_E2
Alexis, Willibald	not defined	Roman	Der Roland von Berlin	droro_e1/Alexis_Willibald_der_Roland_von_Berlin.txt	Romantik_E1
Alexis, Willibald	not defined	Roman	Die Hosen des Herrn von Bredow	droro_e2/Alexis_Willibald_Die_Hosen_des_Herrn_von_Bredow.txt	Romantik_E2
Alexis, Willibald	not defined	Roman	Isegrimm	droro_e2/Alexis_Willibald_Isegrimm.txt	Romantik_E2
Alexis, Willibald	not defined	Roman	Ruhe ist die erste Bürgerpflicht	droro_e2/Alexis_Willibald_Ruhe_ist_die_erste.txt	Romantik_E2
Alexis, Willibald	not defined	Roman	Walladmor	droro_e1/Alexis_Willibald_Walladmor.txt	Romantik_E1
Arnim, Bettina von	Romantik	Märchen	Märchen/[Der Königssohn]	Literatur-Arnim,-Bettina-von/tg17.txt	not defined
Arnim, Bettina von	Romantik	Märchen	Märchen/[Hans ohne Bart]	Literatur-Arnim,-Bettina-von/tg18.txt	not defined
Arnim, Bettina von	Romantik	Märchen	Märchen/Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns	Literatur-Arnim,-Bettina-von/tg21.txt	not defined
Arnim, Bettina von	Romantik	Roman	Romane/Clemens Brentanos Frühlingskranz	Literatur-Arnim,-Bettina-von/tg15.txt	Romantik_E2
Arnim, Bettina von	Romantik	Roman	Romane/Die Günderode	Literatur-Arnim,-Bettina-von/tg11.txt	Romantik_E1
Arnim, Bettina von	Romantik	Roman	Romane/Goethes Briefwechsel mit einem Kinde	Literatur-Arnim,-Bettina-von/tg4.txt	Romantik_E1
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der tolle Invalide auf dem Fort Ratonneau	Literatur-Arnim,-Ludwig-Achim-von/tg1270.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Johann Beer	Literatur-Arnim,-Ludwig-Achim-von/tg1260.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Poliphil und Polia	Literatur-Arnim,-Ludwig-Achim-von/tg1261.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Sonntag	Literatur-Arnim,-Ludwig-Achim-von/tg1259.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Dritter Winterabend/Altdeutsche Landsleute	Literatur-Arnim,-Ludwig-Achim-von/tg1242.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Dritter Winterabend/Arbogast von Andelon und Elisa von Portugal	Literatur-Arnim,-Ludwig-Achim-von/tg1243.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Erster Winterabend/Die Liebesgeschichte des Kanzlers Schlick	Literatur-Arnim,-Ludwig-Achim-von/tg1235.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Erster Winterabend/Eurial und Lukrezia	Literatur-Arnim,-Ludwig-Achim-von/tg1236.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Die neuen Amazonen	Literatur-Arnim,-Ludwig-Achim-von/tg1248.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Mistris Lee	Literatur-Arnim,-Ludwig-Achim-von/tg1249.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Nelson und Meduse	Literatur-Arnim,-Ludwig-Achim-von/tg1250.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Neunter Winterabend/Die Abenteuer des Prinzen Karl Stuart	Literatur-Arnim,-Ludwig-Achim-von/tg1263.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Neunter Winterabend/Die Flucht des Prinzen Karl	Literatur-Arnim,-Ludwig-Achim-von/tg1264.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Schluß/Der Eisgang	Literatur-Arnim,-Ludwig-Achim-von/tg1266.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Schluß/Der Wintergarten, Taufe, Hochzeit	Literatur-Arnim,-Ludwig-Achim-von/tg1267.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Sechster Winterabend/Geheime Geschichte	Literatur-Arnim,-Ludwig-Achim-von/tg1252.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Sechster Winterabend/Olivier Clisson, Kronfeldherr von Frankreich	Literatur-Arnim,-Ludwig-Achim-von/tg1253.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Ariel	Literatur-Arnim,-Ludwig-Achim-von/tg1257.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Die drei Erznarren	Literatur-Arnim,-Ludwig-Achim-von/tg1256.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Winter-Launen	Literatur-Arnim,-Ludwig-Achim-von/tg1255.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Der Krieg	Literatur-Arnim,-Ludwig-Achim-von/tg1245.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Philander unter den streifenden Soldaten	Literatur-Arnim,-Ludwig-Achim-von/tg1246.txt	not defined
