author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_acc	n_dat
Ahlefeld, Charlotte von	not defined	Roman	Erna	droro_e2/Ahlefeld_Charlotte_von_Erna.txt	Romantik_E2	1799	64983	55957	4213	10337	918	2093
Ahlefeld, Charlotte von	not defined	Roman	Marie Müller	droro_e2/Ahlefeld_Charlotte_von_Marie_Mueller.txt	Romantik_E2	2040	50887	42765	2593	7396	653	1539
Alexis, Willibald	not defined	Roman	Als Kriegsfreiwilliger nach Frankreich	droro_e1/Alexis_Willibald_als_Kriegsfreiwilliger_nach_Frankreich.txt	Romantik_E1	3444	64936	55062	3308	11078	793	2149
Alexis, Willibald	not defined	Roman	Cabanis	droro_e1/Alexis_Willibald_Cabanis.txt	Romantik_E1	9231	156217	126740	5764	24312	1940	4356
Alexis, Willibald	not defined	Roman	Der falsche Woldemar	droro_e2/Alexis_Willibald_der_falsche_Woldemar.txt	Romantik_E2	18659	273554	220079	7523	41251	3228	6735
Alexis, Willibald	not defined	Roman	Der Roland von Berlin	droro_e1/Alexis_Willibald_der_Roland_von_Berlin.txt	Romantik_E1	15586	270104	219865	7296	38597	3029	6462
Alexis, Willibald	not defined	Roman	Die Hosen des Herrn von Bredow	droro_e2/Alexis_Willibald_Die_Hosen_des_Herrn_von_Bredow.txt	Romantik_E2	8454	136044	110456	3901	19388	1587	3490
Alexis, Willibald	not defined	Roman	Isegrimm	droro_e2/Alexis_Willibald_Isegrimm.txt	Romantik_E2	16069	278273	228083	9469	42345	3390	7058
Alexis, Willibald	not defined	Roman	Ruhe ist die erste Bürgerpflicht	droro_e2/Alexis_Willibald_Ruhe_ist_die_erste.txt	Romantik_E2	24773	385825	310331	12507	58405	4708	9721
Alexis, Willibald	not defined	Roman	Walladmor	droro_e1/Alexis_Willibald_Walladmor.txt	Romantik_E1	8150	180099	152018	8474	29011	2522	5615
Arnim, Bettina von	Romantik	Märchen	Märchen/[Der Königssohn]	Literatur-Arnim,-Bettina-von/tg17.txt	not defined	73	2279	1992	94	370	40	88
Arnim, Bettina von	Romantik	Märchen	Märchen/[Hans ohne Bart]	Literatur-Arnim,-Bettina-von/tg18.txt	not defined	40	985	844	10	137	14	22
Arnim, Bettina von	Romantik	Märchen	Märchen/Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns	Literatur-Arnim,-Bettina-von/tg21.txt	not defined	3613	60227	49768	2535	9086	959	2153
Arnim, Bettina von	Romantik	Roman	Romane/Clemens Brentanos Frühlingskranz	Literatur-Arnim,-Bettina-von/tg15.txt	Romantik_E2	4332	108152	91499	3575	14582	1234	3053
Arnim, Bettina von	Romantik	Roman	Romane/Die Günderode	Literatur-Arnim,-Bettina-von/tg11.txt	Romantik_E1	6155	174959	146627	5259	23952	1985	5051
Arnim, Bettina von	Romantik	Roman	Romane/Goethes Briefwechsel mit einem Kinde	Literatur-Arnim,-Bettina-von/tg4.txt	Romantik_E1	8881	206898	174810	8268	29785	2593	6769
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der tolle Invalide auf dem Fort Ratonneau	Literatur-Arnim,-Ludwig-Achim-von/tg1270.txt	not defined	316	9217	7872	323	1530	146	332
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Johann Beer	Literatur-Arnim,-Ludwig-Achim-von/tg1260.txt	not defined	49	1201	1011	69	187	12	44
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Poliphil und Polia	Literatur-Arnim,-Ludwig-Achim-von/tg1261.txt	not defined	151	3179	2650	123	511	52	106
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Achter Winterabend/Sonntag	Literatur-Arnim,-Ludwig-Achim-von/tg1259.txt	not defined	198	4120	3472	132	659	33	126
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Dritter Winterabend/Altdeutsche Landsleute	Literatur-Arnim,-Ludwig-Achim-von/tg1242.txt	not defined	25	1030	866	46	166	13	35
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Dritter Winterabend/Arbogast von Andelon und Elisa von Portugal	Literatur-Arnim,-Ludwig-Achim-von/tg1243.txt	not defined	239	5610	4699	96	711	63	194
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Erster Winterabend/Die Liebesgeschichte des Kanzlers Schlick	Literatur-Arnim,-Ludwig-Achim-von/tg1235.txt	not defined	23	950	818	45	141	13	33
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Erster Winterabend/Eurial und Lukrezia	Literatur-Arnim,-Ludwig-Achim-von/tg1236.txt	not defined	419	10212	8607	302	1504	105	259
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Die neuen Amazonen	Literatur-Arnim,-Ludwig-Achim-von/tg1248.txt	not defined	35	811	669	38	127	7	23
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Mistris Lee	Literatur-Arnim,-Ludwig-Achim-von/tg1249.txt	not defined	430	10760	9060	377	1544	138	327
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Nelson und Meduse	Literatur-Arnim,-Ludwig-Achim-von/tg1250.txt	not defined	369	5848	4900	199	1117	64	171
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Neunter Winterabend/Die Abenteuer des Prinzen Karl Stuart	Literatur-Arnim,-Ludwig-Achim-von/tg1263.txt	not defined	221	5040	4295	189	913	81	192
