author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Ahlefeld, Charlotte von	not defined	Roman	Erna	droro_e2/Ahlefeld_Charlotte_von_Erna.txt	Romantik_E2	1799	64983	55957	4213	10337	8456	6418	5355	3597	192	27	918	2093	491	860
Ahlefeld, Charlotte von	not defined	Roman	Marie Müller	droro_e2/Ahlefeld_Charlotte_von_Marie_Mueller.txt	Romantik_E2	2040	50887	42765	2593	7396	7430	5303	5254	3402	243	28	653	1539	397	603
Alexis, Willibald	not defined	Roman	Als Kriegsfreiwilliger nach Frankreich	droro_e1/Alexis_Willibald_als_Kriegsfreiwilliger_nach_Frankreich.txt	Romantik_E1	3444	64936	55062	3308	11078	8866	5892	5863	3220	230	26	793	2149	476	1039
Alexis, Willibald	not defined	Roman	Cabanis	droro_e1/Alexis_Willibald_Cabanis.txt	Romantik_E1	9231	156217	126740	5764	24312	23602	16066	16905	10075	688	104	1940	4356	1265	1887
Alexis, Willibald	not defined	Roman	Der falsche Woldemar	droro_e2/Alexis_Willibald_der_falsche_Woldemar.txt	Romantik_E2	18659	273554	220079	7523	41251	40814	28612	31562	20125	1146	246	3228	6735	1974	3050
Alexis, Willibald	not defined	Roman	Der Roland von Berlin	droro_e1/Alexis_Willibald_der_Roland_von_Berlin.txt	Romantik_E1	15586	270104	219865	7296	38597	40887	27981	30204	18270	1364	275	3029	6462	2000	2805
Alexis, Willibald	not defined	Roman	Die Hosen des Herrn von Bredow	droro_e2/Alexis_Willibald_Die_Hosen_des_Herrn_von_Bredow.txt	Romantik_E2	8454	136044	110456	3901	19388	20826	14240	15175	9142	742	143	1587	3490	1017	1582
Alexis, Willibald	not defined	Roman	Isegrimm	droro_e2/Alexis_Willibald_Isegrimm.txt	Romantik_E2	16069	278273	228083	9469	42345	42432	27523	28777	15362	1551	227	3390	7058	2165	3030
Alexis, Willibald	not defined	Roman	Ruhe ist die erste Bürgerpflicht	droro_e2/Alexis_Willibald_Ruhe_ist_die_erste.txt	Romantik_E2	24773	385825	310331	12507	58405	58248	39181	40615	23208	1907	238	4708	9721	3092	4302
Alexis, Willibald	not defined	Roman	Walladmor	droro_e1/Alexis_Willibald_Walladmor.txt	Romantik_E1	8150	180099	152018	8474	29011	25974	18234	17433	10615	702	94	2522	5615	1666	2397
Arnim, Bettina von	Romantik	Märchen	Märchen/[Der Königssohn]	Literatur-Arnim,-Bettina-von/tg17.txt	not defined	73	2279	1992	94	370	361	260	265	172	2	0	40	88	23	34
Arnim, Bettina von	Romantik	Märchen	Märchen/[Hans ohne Bart]	Literatur-Arnim,-Bettina-von/tg18.txt	not defined	40	985	844	10	137	187	123	147	84	4	0	14	22	12	6
Arnim, Bettina von	Romantik	Märchen	Märchen/Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns	Literatur-Arnim,-Bettina-von/tg21.txt	not defined	3613	60227	49768	2535	9086	9113	6953	7101	5103	174	46	959	2153	694	947
Arnim, Bettina von	Romantik	Roman	Romane/Clemens Brentanos Frühlingskranz	Literatur-Arnim,-Bettina-von/tg15.txt	Romantik_E2	4332	108152	91499	3575	14582	16963	10675	11742	6029	437	61	1234	3053	820	1323
